Investigation ID,Title,Organisation,Organisation Type,Month of Publication,Year of Publication,URL,Subject Matter,Subject Detail,Geographical Focus,Geo Country,Primary Circulation Context ,Secondary Circulation Context,Circulation Detail,Access Level,Intended Audience,Primary Presentational Format,Secondary Presentational Format,Duration,Word Count,Interactivity,Temporality,Methodology Y/N,Reflexivity 0-4,Reflexivity Notes,Techniques Count,Synthetic Ratio,Observational Ratio,Computational Ratio,Hybrid Ratio,Legal Impact,Legal Detail,Collaboration,Collaborators,General Notes,,Coding Date,Coding Time,Review Required
INV021,Three generations killed within days: why whole families are dying in Gaza,Airwars,OSINT,3,2024,https://archive.is/5Uwk2#selection-2557.0-2557.74,Airstrikes,,Middle East,Gaza,2,1,"Native web page provides short description, linking to Times' website page","Paywalled, open through archive page provided by Airwars","Public, Media, Advocacy",1.4,1.2,NA,1642,Limited,Retrospective,Y,2,"Dedicated methodology section included with limited discussion of analysis methods, including link to full archival resources and native methodology pages",4,0,0.25,0.75,0,Unknown,,Y,The Times,,,20/02/2026,30,"Technique ratio data included despite lack of duration data, measured instead by proportion of techniques present in total. "
INV022,Countdown to the Airstrike,Airwars,OSINT,7,2021,https://www.theguardian.com/global-development/ng-interactive/2021/jul/28/countdown-to-demolition-the-story-of-al-jalaa-tower-gaza-israel-palestine,Airstrikes,,Middle East,Gaza,2,1,"Native web page provides short description, linking to The Guardian's website page",Open,"Public, Media, Advocacy",1.3,1.8,NA,2981,Limited,Retrospective,N,0,"No mention of data collection, analytical techniques or source attribution",5,0,0.4,0.4,0.2,Media Coverage,,Y,The Guardian,"In conjunction with the civilian harm monitoring organisation Airwars, the Guardian spoke with dozens of residents and gathered footage and photos to piece together the story of one building, al-Jalaa tower, demolished by an Israeli airstrike on 15 May 2021.",,20/02/2026,30,"Technique ratio data included despite lack of duration data, measured instead by proportion of techniques present in total. "
INV023,Killed in a Press Vest,Airwars,OSINT,12,2023,https://airwars.org/killed-press-vest-evidence-israeli-responsibility-for-attack-journalists-in-lebanon/,Airstrikes,,Middle East,Lebanon,1,2,"Native web page, made in collaboration with media partner Agence France Presse",Open,"Public, Media, Advocacy",1.3,,NA,2988,Limited,Retrospective,N,1,"No dedicated methodology page or section, inline mentions of technique and sources but not explained",7,0,0.143,0.571,0.286,Media Coverage,"""AFP presented the findings of this investigation to officials. Israel did not reply to a request for comment by the time of release.""",Y,AFP,"""In collaboration with AFP, Airwars conducted an in-depth investigation of the incident.""",,20/02/2026,30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technique ID,Investigation ID,Technique Type,Technique Name,Technique Category,Data Source,Data Source Detail,Technique Duration,Technique Proportion,Technique Sequence,Explanation,Explanation Location,Explanation Detail,Software Named,Software Detail,Limitations,Limitations Detail,Visual Quality,Interactive Element,Interactive Type,Temporal Element,Spatial Element,Rhetorical Function,Confidence,Additional Notes,,,,,,,,,,,,,,
INV010_T01,INV010,1.6,Drone Footage,1,Archival,,55,0.047,1,,,,,,,,Low,,None,Animated,Single Frame,Evidence,Not Stated,,,,,,,,,,,,,,,
INV010_T02,INV010,2.13,Social Media Evidence,2,Archival,,80,0.069,2,,,,,,,,High,,None,Static,Overlay,Evidence,Not Stated,,,,,,,,,,,,,,,
INV010_T03,INV010,2.3,Satellite Imagery (Annotated),2,Multiple,,10,0.009,3,,,,,,,,Medium,,None,Animated,Overlay,Verification,Not Stated,,,,,,,,,,,,,,,
INV010_T04,INV010,1.1,Witness Video,1,Witness Video,,135,0.115,4,,,,,,,,Mixed,,None,Animated,Single Frame,Evidence,Not Stated,,,,,,,,,,,,,,,
INV010_T05,INV010,2.1,Geolocation Mapping,2,Satellite,,95,0.082,5,,,,,,,,High,,None,Animated,2D Map,Explanation,Not Stated,,,,,,,,,,,,,,,
INV010_T06,INV010,3.2,Geolocated Photographs,3,Multiple,,90,0.077,6,,,,,,,,Mixed,,None,Time-lapse,2D Map,Verification,Not Stated,,,,,,,,,,,,,,,
INV010_T07,INV010,2.7,Statistical Mapping,2,Generated,,90,0.077,7,,,,,,,,High,,None,Static,Single Frame,Illustration,Not Stated,,,,,,,,,,,,,,,
INV010_T08,INV010,3.9,Annotated Drone Footage,3,Multiple,,85,0.073,8,,,,,,,,Mixed,,None,Animated,Overlay,Verification,Not Stated,,,,,,,,,,,,,,,
INV010_T09,INV010,2.2,3D Architectural Reconstruction,2,Generated,,30,0.026,9,,,,,,,,High,,None,Animated,3D Model,Illustration,Not Stated,,,,,,,,,,,,,,,
INV010_T10,INV010,3.6,3D Model Embedded Photography,3,Multiple,,20,0.017,10,,,,,,,,Mixed,,None,Synchronised,3D Model,Illustration,Not Stated,,,,,,,,,,,,,,,
INV010_T11,INV010,1.8,Investigation Video,1,Witness Video,,270,0.232,11,,,,,,,,High,,None,Animated,Single Frame,Explanation,Not Stated,,,,,,,,,,,,,,,
INV010_T12,INV010,1.7,Photographic still (original),1,Archival,,60,0.052,12,,,,,,,,Mixed,,None,Static,Single Frame,Evidence,Not Stated,,,,,,,,,,,,,,,
INV010_T13,INV010,2.14,Annotated Web Content,2,Archival,,25,0.021,13,,,,,,,,High,,None,Animated,Overlay,Explanation,Not Stated,,,,,,,,,,,,,,,
INV010_T14,INV010,3.8,Annotated Documentation,3,Archival,,85,0.073,14,,,,,,,,High,,None,Animated,Overlay,Explanation,Not Stated,,,,,,,,,,,,,,,
INV010_T15,INV010,1.4,CCTV Footage,1,Witness Video,,10,0.009,15,,,,,,,,Medium,,None,Animated,Single Frame,Evidence,Not Stated,,,,,,,,,,,,,,,
INV010_T16,INV010,1.3,Archival Photography,1,Archival,,25,0.021,16,,,,,,,,Medium,,None,Static,Single Frame,Evidence,Not Stated,,,,,,,,,,,,,,,
INV011_T01,INV011,3.1,Annotated Witness Video,3,Multiple,,345,0.289,1,,Not Explained,,,,,,Mixed,,None,Animated,Overlay,Explanation,Not Stated,,,,,,,,,,,,,,,
INV011_T02,INV011,2.2,3D Architectural Reconstruction,2,Generated,,35,0.029,2,,Not Explained,,,,,,High,,None,Animated,3D Model,Illustration,Not Stated,,,,,,,,,,,,,,,
INV011_T03,INV011,3.6,3D Model Embedded Photography,3,Multiple,,125,0.105,3,,Not Explained,,,,,,Mixed,,None,Animated,Overlay,Verification,Not Stated,,,,,,,,,,,,,,,
INV011_T04,INV011,3.3,Satellite with Analytical Overlay,3,Multiple,,295,0.248,4,,Not Explained,,,,,,Mixed,,None,Animated,Overlay,Illustration,Not Stated,,,,,,,,,,,,,,,
INV011_T05,INV011,2.1,Geolocation Mapping,2,Generated,,50,0.042,5,,Not Explained,,,,,,High,,None,Static,2D Map,Evidence,Not Stated,,,,,,,,,,,,,,,
INV011_T06,INV011,1.8,Investigation Video,1,Witness Video,,130,0.109,6,,Not Explained,,,,,,Medium,,None,Animated,Single Frame,Context,Not Stated,,,,,,,,,,,,,,,
INV011_T07,INV011,2.14,Annotated Web Content,2,Multiple,,40,0.034,7,,Not Explained,,,,,,Mixed,,None,Static,Overlay,Evidence,Not Stated,,,,,,,,,,,,,,,
INV011_T08,INV011,2.7,Statistical Mapping,2,Generated,,60,0.05,8,,Not Explained,,,,,,High,,None,Static,Single Frame,Evidence,Not Stated,,,,,,,,,,,,,,,
INV011_T09,INV011,2.10,Before/After Comparison,2,Satellite,,10,0.008,9,,Not Explained,,,,,,Mixed,,None,Time-lapse,Overlay,Illustration,Not Stated,,,,,,,,,,,,,,,
INV011_T10,INV011,1.4,CCTV Footage,1,Archival,,10,0.008,10,,Not Explained,,,,,,Low,,None,Animated,Single Frame,Evidence,Not Stated,,,,,,,,,,,,,,,
INV011_T11,INV011,3.2,Geolocated Photographs,3,Multiple,,25,0.021,11,,Not Explained,,,,,,Mixed,,None,Static,Overlay,Verification,Not Stated,,,,,,,,,,,,,,,
INV011_T12,INV011,3.8,Annotated Documentation,3,Archival,,40,0.034,12,,Not Explained,,,,,,Mixed,,None,Static,Overlay,Explanation,Not Stated,,,,,,,,,,,,,,,
INV011_T13,INV011,2.6,Network Graph,2,Generated,,5,0.004,13,,Not Explained,,,,,,High,,None,Static,Single Frame,Evidence,Not Stated,,,,,,,,,,,,,,,
INV011_T14,INV011,1.3,Archival Photography,1,Archival,,10,0.008,14,,Not Explained,,,,,,Medium,,None,Static,Single Frame,Context,Not Stated,,,,,,,,,,,,,,,
INV011_T15,INV011,2.13,Social Media Evidence,2,Archival,,10,0.008,15,,Not Explained,,,,,,High,,None,Static,Overlay,Evidence,Not Stated,,,,,,,,,,,,,,,
INV013_T01,INV013,1.4,CCTV Footage,1,Archival,,30,0.143,1,,Not Explained,,,,,,Medium,,None,Animated,Split-screen,Evidence,Not Stated,,,,,,,,,,,,,,,
INV013_T02,INV013,1.1,Witness Video,1,Witness Video,,20,0.095,2,,Voiceover,,,,,,Mixed,,None,Animated,Single Frame,Evidence,Not Stated,,,,,,,,,,,,,,,
INV013_T03,INV013,2.2,3D Architectural Reconstruction,2,Generated,,30,0.143,3,,Voiceover,,,,,,High,,None,Animated,3D Model,Explanation,Not Stated,,,,,,,,,,,,,,,
INV013_T04,INV013,3.1,Annotated Witness Video,3,Multiple,,30,0.143,4,,Not Explained,,,,,,Mixed,,None,Animated,Single Frame,Explanation,Not Stated,,,,,,,,,,,,,,,
INV013_T05,INV013,3.6,3D Model Embedded Photography,3,Multiple,,50,0.238,5,,Voiceover,,,,,,Mixed,,None,Animated,3D Model,Verification,Not Stated,,,,,,,,,,,,,,,
INV013_T06,INV013,3.3,Satellite with Analytical Overlay,3,Multiple,,50,0.238,6,,Voiceover,,,,,,High,,None,Animated,Overlay,Explanation,Not Stated,,,,,,,,,,,,,,,
INV014_T01,INV014,1.1,Witness Video,1,Witness Video,,90,0.367,1,,Voiceover,,,,,,Medium,,None,Animated,Single Frame,Evidence,Not Stated,,,,,,,,,,,,,,,
INV014_T02,INV014,2.2,3D Architectural Reconstruction,2,Generated,,55,0.225,2,,Voiceover,,,,,,High,,None,Animated,3D Model,Illustration,Not Stated,,,,,,,,,,,,,,,
INV014_T03,INV014,3.6,3D Model Embedded Photography,3,Multiple,,65,0.265,3,,Voiceover,,,,,,Mixed,,None,Animated,3D Model,Verification,Not Stated,,,,,,,,,,,,,,,
INV014_T04,INV014,3.3,Satellite with Analytical Overlay,3,Multiple,,35,0.143,4,,Voiceover,,,,,,High,,None,Animated,Overlay,Explanation,Not Stated,,,,,,,,,,,,,,,
INV015_T01,INV015,1.1,Witness Video,1,Witness Video,,10,0.029,1,,Not Explained,,,,,,Medium,,None,Animated,Single Frame,Evidence,Not Stated,,,,,,,,,,,,,,,
INV015_T02,INV015,1.7,Photographic still (original),1,Archival,,20,0.058,2,,Not Explained,,,,,,Mixed,,None,Static,Grid,Evidence,Not Stated,,,,,,,,,,,,,,,
INV015_T03,INV015,2.1,Geolocation Mapping,2,Satellite,,40,0.118,3,,Not Explained,,,,,,High,,None,Time-lapse,2D Map,Context,Not Stated,,,,,,,,,,,,,,,
INV015_T04,INV015,3.8,Annotated Documentation,3,Multiple,,160,0.471,4,,Voiceover,,,,,,Mixed,,None,Static,Overlay,Evidence,Not Stated,,,,,,,,,,,,,,,
INV015_T05,INV015,2.2,3D Architectural Reconstruction,2,Generated,,40,0.118,5,,Voiceover,,,,,,High,,None,Animated,3D Model,Illustration,Not Stated,,,,,,,,,,,,,,,
INV015_T06,INV015,4.3,Illustrative Animation,4,Generated,,35,0.103,6,,Not Explained,,,,,,High,,None,Animated,3D Model,Speculation,Not Stated,,,,,,,,,,,,,,,
INV015_T07,INV015,3.3,Satellite with Analytical Overlay,3,Multiple,,25,0.074,7,,Voiceover,,,,,,High,,None,Animated,Overlay,Explanation,Not Stated,,,,,,,,,,,,,,,
INV015_T08,INV015,1.8,Investigation Video,1,Witness Video,,10,0.029,8,,Not Explained,,,,,,Medium,,None,Animated,Single Frame,Explanation,Not Stated,,,,,,,,,,,,,,,
INV016_T01,INV016,1.9,Dashcam Video,1,Witness Video,,380,1,1,,Inline,,,,N,,Mixed,,None,Synchronised,Split-screen,Explanation,Not Stated,,,,,,,,,,,,,,,
INV017_T01,INV017,2.8,Heat Map/Density Visualisation,2,Generated,,,,1,,Inline,"Vague language used throughout, ""Airwars documented"" with no detail",,,Y,31 civilian harm incidents between 2012-2025 could not be represented on the map due to limited geographical information available to Airwars.,High,"User-navigable statistical density map, timeline slider for populating map, links to further incident reports",Zoom,User-controlled,2D Map,Illustration,Not Stated,,,,,,,,,,,,,,,
INV017_T02,INV017,2.7,Statistical Mapping,2,Generated,,,,2,,Inline,,,,,,High,,Toggle,User-controlled,2D Map,Illustration,Not Stated,,,,,,,,,,,,,,,
INV017_T03,INV017,2.4,Video Synch/Timeline,2,Generated,,,,3,,Inline,,,,,,High,,Slider,User-controlled,Single Frame,Illustration,Not Stated,,,,,,,,,,,,,,,
INV017_T04,INV017,3.8,Annotated Documentation,3,Multiple,,,,4,,Inline,,,,,,High,,None,Animated,Grid,Evidence,Not Stated,,,,,,,,,,,,,,,
INV018_T01,INV018,2.8,Heat Map/Density Visualisation,2,Generated,,,,1,,Inline,,,,,,High,"User-navigable statistical density map, timeline slider for populating map, links to further incident reports",Zoom,User-controlled,2D Map,Illustration,Not Stated,,,,,,,,,,,,,,,
INV018_T02,INV018,2.7,Statistical Mapping,2,Generated,,,,2,,Inline,,,,,,High,,Toggle,User-controlled,2D Map,Illustration,Not Stated,,,,,,,,,,,,,,,
INV018_T03,INV018,2.4,Video Synch/Timeline,2,Generated,,,,3,,Inline,,,,,,High,,Slider,User-controlled,Single Frame,Illustration,Not Stated,,,,,,,,,,,,,,,
INV018_T04,INV018,3.8,Annotated Documentation,3,Multiple,,,,4,,Inline,,,,,,High,,None,Animated,Grid,Evidence,Not Stated,,,,,,,,,,,,,,,
INV019_T01,INV019,1.2,Satellite Imagery (Raw),1,Satellite,,,,1,,Inline,"""Airwars has matched that map with satellite imagery of the area."" ""Airwars recreated the events to highlight the significance of the ruling for victims in conflict zones.""",,,,,Low,"User-navigable through scroll function, audio files available on-click",Slider,Time-lapse,2D Map,Evidence,Not Stated,,,,,,,,,,,,,,,
INV019_T02,INV019,2.3,Satellite Imagery (Annotated),2,Multiple,,,,2,,Inline,,,,,,High,,Slider,Time-lapse,2D Map,Explanation,Not Stated,,,,,,,,,,,,,,,
INV019_T03,INV019,3.3,Satellite with Analytical Overlay,3,Multiple,,,,3,,Inline,,,,,,High,,Slider,Time-lapse,Overlay,Explanation,Not Stated,,,,,,,,,,,,,,,
INV019_T04,INV019,1.7,Photographic still (original),1,Archival,,,,4,,Caption,,,,,,Medium,,None,Static,Single Frame,Evidence,Not Stated,,,,,,,,,,,,,,,
INV020_T01,INV020,1.1,Witness Video,1,Witness Video,,380,0.145,1,,Caption,,,,,,Medium,,None,Animated,Single Frame,Evidence,Not Stated,,,,,,,,,,,,,,,
INV020_T02,INV020,1.8,Investigation Video,1,Witness Video,,1880,0.741,2,,Not Explained,,,,,,High,,None,Animated,Single Frame,Explanation,Not Stated,,,,,,,,,,,,,,,
INV020_T03,INV020,2.1,Geolocation Mapping,2,Generated,,10,0.004,3,,Caption,,,,,,High,,None,Static,2D Map,Evidence,Not Stated,,,,,,,,,,,,,,,
INV020_T04,INV020,1.6,Drone Footage,1,Witness Video,,10,0.004,4,,Not Explained,,,,,,Degraded,,None,Animated,Single Frame,Evidence,Not Stated,,,,,,,,,,,,,,,
INV020_T05,INV020,2.13,Social Media Evidence,2,Archival,,5,0.002,5,,Caption,,,,,,High,,None,Static,Overlay,Evidence,Not Stated,,,,,,,,,,,,,,,
INV020_T06,INV020,2.2,3D Architectural Reconstruction,2,Generated,,90,0.036,6,,Voiceover,,,,,,High,,None,Animated,3D Model,Illustration,Not Stated,,,,,,,,,,,,,,,
INV020_T07,INV020,3.6,3D Model Embedded Photography,3,Multiple,,35,0.013,7,,Not Explained,,,,,,Mixed,,None,Animated,3D Model,Verification,Not Stated,,,,,,,,,,,,,,,
INV020_T08,INV020,3.8,Annotated Documentation,3,Multiple,,30,0.012,8,,Caption,,,,,,High,,None,Static,Overlay,Evidence,Not Stated,,,,,,,,,,,,,,,
INV020_T09,INV020,1.7,Photographic still (original),1,Archival,,85,0.035,9,,Caption,,,,,,Mixed,,None,Static,Grid,Context,Not Stated,,,,,,,,,,,,,,,
INV020_T10,INV020,3.1,Annotated Witness Video,3,Multiple,,10,0.004,10,,Not Explained,,,,,,Mixed,,None,Animated,Overlay,Verification,Not Stated,,,,,,,,,,,,,,,
INV020_T11,INV020,2.7,Statistical Mapping,2,Generated,,10,0.004,11,,Voiceover,,,,,,High,,None,Static,Single Frame,Evidence,Not Stated,,,,,,,,,,,,,,,
INV021_T01,INV021,1.7,Photographic still (original),1,Archival,,,,1,,Caption,,,,,,Mixed,,None,Static,Single Frame,Context,Not Stated,,,,,,,,,,,,,,,
INV021_T02,INV021,2.8,Heat Map/Density Visualisation,2,Generated,,,,2,,Inline,"""Airwars, in collaboration with the Sunday Times, has identified the names of 161 separate families who lost two or more family members in the Israel-Gaza war.""",,,,,High,,None,Static,Single Frame,Illustration,Not Stated,,,,,,,,,,,,,,,
INV021_T03,INV021,2.7,Statistical Mapping,2,Generated,,,,3,,Inline,,,,,,High,"""Hover or tap for each family name and how many members it lost.""",Toggle,User-controlled,Single Frame,Illustration,Not Stated,,,,,,,,,,,,,,,
INV021_T04,INV021,2.6,Network Graph,2,Generated,,,,4,,Inline,,,,,,High,,None,Static,Single Frame,Illustration,Not Stated,,,,,,,,,,,,,,,
INV022_T01,INV022,2.3,Satellite Imagery (Annotated),2,Multiple,,,,1,,Not Explained,"""In conjunction with the civilian harm monitoring organisation Airwars, the Guardian spoke with dozens of residents and gathered footage and photos to piece together the story of one building, al-Jalaa tower, demolished by an Israeli airstrike on 15 May 2021.""",,,,,Mixed,,Toggle,Animated,2D Map,Evidence,Not Stated,,,,,,,,,,,,,,,
INV022_T02,INV022,1.1,Witness Video,1,Witness Video,,,,2,,Not Explained,,,,,,Medium,,Toggle,Animated,Split-screen,Evidence,Not Stated,,,,,,,,,,,,,,,
INV022_T03,INV022,1.7,Photographic still (original),1,Archival,,,,3,,Not Explained,,,,,,Medium,,None,Static,Grid,Context,Not Stated,,,,,,,,,,,,,,,
INV022_T04,INV022,2.4,Video Synch/Timeline,2,Multiple,,,,4,,Not Explained,,,,,,Mixed,,Toggle,Synchronised,Overlay,Verification,Not Stated,,,,,,,,,,,,,,,
INV022_T05,INV022,3.1,Annotated Witness Video,3,Multiple,,,,5,,Not Explained,,,,,,Mixed,,None,Animated,Overlay,Explanation,Not Stated,,,,,,,,,,,,,,,
INV023_T01,INV023,2.2,3D Architectural Reconstruction,2,Generated,,,,1,,Inline,,,,,,High,,Toggle,Animated,3D Model,Illustration,Not Stated,,,,,,,,,,,,,,,
INV023_T02,INV023,3.6,3D Model Embedded Photography,3,Multiple,,,,2,,Not Explained,,,,,,Mixed,,None,Animated,3D Model,Verification,Not Stated,,,,,,,,,,,,,,,
INV023_T03,INV023,2.13,Social Media Evidence,2,Archival,,,,3,,Inline,,,,,,Medium,,Toggle,Animated,Single Frame,Evidence,Not Stated,,,,,,,,,,,,,,,
INV023_T04,INV023,2.1,Geolocation Mapping,2,Generated,,,,4,,Inline,,,,,,High,,None,Animated,2D Map,Evidence,Not Stated,,,,,,,,,,,,,,,
INV023_T05,INV023,1.7,Photographic still (original),1,Archival,,,,5,,Caption,,,,,,High,,None,Static,Single Frame,Evidence,Not Stated,,,,,,,,,,,,,,,
INV023_T06,INV023,3.1,Annotated Witness Video,3,Multiple,,,,6,,Inline,,,,,,Mixed,,None,Animated,Overlay,Verification,Not Stated,,,,,,,,,,,,,,,
INV023_T07,INV023,2.3,Satellite Imagery (Annotated),2,Multiple,,,,7,,Inline,,,,,,High,,None,Animated,Overlay,Verification,Not Stated,,,,,,,,,,,,,,,
